2019-11-24T23:02:13.886-0200 [INFO] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasVertical - ##### Método finalizado #####
2019-11-24T23:02:13.886-0200 [INFO] 2019-11-24 23:02:13,886 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasHorizontal - ##### Método iniciado #####
2019-11-24T23:02:13.887-0200 [INFO] 2019-11-24 23:02:13,887 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método iniciado #####
2019-11-24T23:02:13.887-0200 [DEBUG] 2019-11-24 23:02:13,887 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Parâmetros recebidos: 
2019-11-24T23:02:13.887-0200 [DEBUG] 2019-11-24 23:02:13,887 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 1- linhaStart: 0
2019-11-24T23:02:13.887-0200 [DEBUG] 2019-11-24 23:02:13,887 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 2- colunaStart: 0
2019-11-24T23:02:13.887-0200 [DEBUG] 2019-11-24 23:02:13,887 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 3- numberOfSequence: 0
2019-11-24T23:02:13.888-0200 [DEBUG] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 4- numberOfSequence:2
2019-11-24T23:02:13.888-0200 [DEBUG] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Retorno:0
2019-11-24T23:02:13.888-0200 [INFO] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método finalizado #####
2019-11-24T23:02:13.888-0200 [INFO] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método iniciado #####
2019-11-24T23:02:13.888-0200 [DEBUG] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Parâmetros recebidos: 
2019-11-24T23:02:13.888-0200 [DEBUG] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 1- linhaStart: 1
2019-11-24T23:02:13.888-0200 [DEBUG] 2019-11-24 23:02:13,888 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 2- colunaStart: 0
2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 3- numberOfSequence: 0
2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 4- numberOfSequence:2
2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Retorno:0
2019-11-24T23:02:13.889-0200 [INFO] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método finalizado #####
2019-11-24T23:02:13.889-0200 [INFO] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método iniciado #####
